Refining reads of /home/patienza/oscars/erga/data/Canis_aureus/m64358e_220706_164001.reads.bam
Done IsoSeq refine.
Clustering
| 20260212 15:26:02.569 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260212 15:26:02.569 | INFO | Effective commandline : cluster2 /home/patienza/oscars/erga/preprocessing/C_aureus/C_aureus_refine.bam /home/patienza/oscars/erga/preprocessing/C_aureus/C_aureus_cluster.bam
| 20260212 15:26:02.569 | INFO | Version               : 4.3.0 (commit v4.3.0)
| 20260212 15:26:02.569 | INFO | Options 
| 20260212 15:26:02.569 | INFO | - CPU threads         : 80
| 20260212 15:26:02.569 | INFO | - Sorting threads     : 80
| 20260212 15:26:02.569 | INFO | - Kmer size           : 17
| 20260212 15:26:02.569 | INFO | - Merge rounds        : 2
| 20260212 15:26:02.569 | INFO | - 5' overhang         : 100
| 20260212 15:26:02.569 | INFO | - 3' overhang         : 30
| 20260212 15:26:02.569 | INFO | - 5' errors           : 5
| 20260212 15:26:02.569 | INFO | - 3' errors           : 10
| 20260212 15:26:02.569 | INFO | - 5' non-match window : 10
| 20260212 15:26:02.569 | INFO | - 3' non-match window : 10
| 20260212 15:26:02.569 | INFO | - Max gaps            : 5
| 20260212 15:26:02.569 | INFO | - Gap window          : 20
| 20260212 15:26:02.569 | INFO | - Max consensus cov   : 50
| 20260212 15:26:02.569 | INFO | - Deduplicate         : True
| 20260212 15:26:02.569 | INFO | - Break clusters      : True
| 20260212 15:26:02.569 | INFO | - Break consensus     : True
| 20260212 15:26:02.569 | INFO | - Output singletons   : False
| 20260212 15:26:02.569 | INFO | - POA intermediate    : False
| 20260212 15:26:02.569 | INFO | - POA final           : True
| 20260212 15:26:02.569 | INFO | - Use QVs for POA     : False
| 20260212 15:26:02.569 | INFO | Snapshot : 0.0% / 3T / 0.0G
| 20260212 15:26:02.577 | INFO | Temp file name        : /scr/patienza/tmp/tmp.3748996.bam
| 20260212 15:26:02.577 | INFO | Get offsets
| 20260212 15:26:07.569 | INFO | Snapshot : 748.6% / 84T / 0.1G
| 20260212 15:26:12.570 | INFO | Snapshot : 733.2% / 84T / 0.1G
| 20260212 15:26:17.569 | INFO | Snapshot : 741.9% / 84T / 0.1G
| 20260212 15:26:22.569 | INFO | Snapshot : 690.2% / 84T / 0.1G
