Run 'mamba init' to be able to run mamba activate/deactivate
and start a new shell session. Or use conda to activate/deactivate.

Files merged, running cluster
| 20260505 14:35:26.719 | INFO | Snapshot : (Legend) % CPU / Threads / ResMem GiB
| 20260505 14:35:26.719 | INFO | Effective commandline : cluster2 results/preprocessing/S_alpinus/All_tissues.flnc.bam results/preprocessing/S_alpinus/All_tissues.cluster.bam
| 20260505 14:35:26.719 | INFO | Version               : 4.3.0 (commit v4.3.0)
| 20260505 14:35:26.719 | INFO | Options 
| 20260505 14:35:26.719 | INFO | - CPU threads         : 80
| 20260505 14:35:26.719 | INFO | - Sorting threads     : 80
| 20260505 14:35:26.719 | INFO | - Kmer size           : 17
| 20260505 14:35:26.719 | INFO | - Merge rounds        : 2
| 20260505 14:35:26.719 | INFO | - 5' overhang         : 100
| 20260505 14:35:26.719 | INFO | - 3' overhang         : 30
| 20260505 14:35:26.719 | INFO | - 5' errors           : 5
| 20260505 14:35:26.719 | INFO | - 3' errors           : 10
| 20260505 14:35:26.719 | INFO | - 5' non-match window : 10
| 20260505 14:35:26.719 | INFO | - 3' non-match window : 10
| 20260505 14:35:26.719 | INFO | - Max gaps            : 5
| 20260505 14:35:26.719 | INFO | - Gap window          : 20
| 20260505 14:35:26.719 | INFO | - Max consensus cov   : 50
| 20260505 14:35:26.719 | INFO | - Deduplicate         : True
| 20260505 14:35:26.719 | INFO | - Break clusters      : True
| 20260505 14:35:26.719 | INFO | - Break consensus     : True
| 20260505 14:35:26.719 | INFO | - Output singletons   : False
| 20260505 14:35:26.719 | INFO | - POA intermediate    : False
| 20260505 14:35:26.719 | INFO | - POA final           : True
| 20260505 14:35:26.719 | INFO | - Use QVs for POA     : False
| 20260505 14:35:26.719 | INFO | Snapshot : 0.0% / 3T / 0.0G
| 20260505 14:35:26.733 | INFO | Temp file name        : /scr/patienza/tmp/tmp.2213463.bam
| 20260505 14:35:26.733 | INFO | Get offsets
| 20260505 14:35:31.720 | INFO | Snapshot : 774.6% / 84T / 0.1G
| 20260505 14:35:36.720 | INFO | Snapshot : 774.4% / 84T / 0.1G
| 20260505 14:35:41.720 | INFO | Snapshot : 735.6% / 84T / 0.1G
| 20260505 14:35:46.720 | INFO | Snapshot : 732.4% / 84T / 0.2G
| 20260505 14:35:51.719 | INFO | Snapshot : 760.7% / 84T / 0.2G
| 20260505 14:35:56.719 | INFO | Snapshot : 770.4% / 84T / 0.2G
| 20260505 14:36:01.720 | INFO | Snapshot : 758.6% / 84T / 0.2G
| 20260505 14:36:06.720 | INFO | Snapshot : 765.0% / 84T / 0.2G
| 20260505 14:36:11.720 | INFO | Snapshot : 782.2% / 84T / 0.2G
| 20260505 14:36:16.720 | INFO | Snapshot : 819.4% / 84T / 0.2G
| 20260505 14:36:21.719 | INFO | Snapshot : 798.3% / 84T / 0.2G
| 20260505 14:36:25.980 | INFO | Get offsets           : 59s 246ms 
| 20260505 14:36:25.980 | INFO | Consolidate offsets
| 20260505 14:36:26.070 | INFO | Consolidate offsets   : 90ms 191us 
| 20260505 14:36:26.070 | INFO | Sorting
| 20260505 14:36:26.463 | INFO | Sorting               : 392ms 871us 
| 20260505 14:36:26.519 | INFO | Write sorted
| 20260505 14:36:26.721 | INFO | Snapshot : 751.2% / 165T / 0.7G
| 20260505 14:36:31.722 | INFO | Snapshot : 1254.4% / 165T / 0.7G
| 20260505 14:36:36.720 | INFO | Snapshot : 1325.1% / 165T / 0.7G
| 20260505 14:36:41.720 | INFO | Snapshot : 1376.5% / 165T / 0.8G
| 20260505 14:36:46.722 | INFO | Snapshot : 1554.0% / 165T / 0.8G
| 20260505 14:36:51.721 | INFO | Snapshot : 1287.9% / 165T / 0.8G
| 20260505 14:36:56.721 | INFO | Snapshot : 1624.5% / 165T / 0.8G
| 20260505 14:37:01.729 | INFO | Snapshot : 1698.0% / 165T / 0.8G
| 20260505 14:37:06.723 | INFO | Snapshot : 1414.1% / 165T / 0.8G
| 20260505 14:37:11.720 | INFO | Snapshot : 1499.9% / 165T / 0.8G
| 20260505 14:37:16.729 | INFO | Snapshot : 1643.0% / 165T / 0.8G
| 20260505 14:37:21.720 | INFO | Snapshot : 1532.0% / 165T / 0.8G
| 20260505 14:37:26.719 | INFO | Snapshot : 1709.5% / 165T / 0.8G
| 20260505 14:37:31.720 | INFO | Snapshot : 1685.9% / 165T / 0.8G
| 20260505 14:37:36.721 | INFO | Snapshot : 1470.3% / 165T / 0.8G
| 20260505 14:37:41.726 | INFO | Snapshot : 1725.2% / 165T / 0.8G
| 20260505 14:37:46.726 | INFO | Snapshot : 1585.4% / 165T / 0.8G
| 20260505 14:37:51.722 | INFO | Snapshot : 1525.1% / 165T / 0.8G
| 20260505 14:37:56.723 | INFO | Snapshot : 1828.8% / 165T / 0.8G
| 20260505 14:38:01.737 | INFO | Snapshot : 1603.0% / 165T / 0.8G
| 20260505 14:38:06.720 | INFO | Snapshot : 1661.2% / 165T / 0.8G
| 20260505 14:38:11.726 | INFO | Snapshot : 1709.8% / 165T / 0.8G
| 20260505 14:38:16.719 | INFO | Snapshot : 1951.5% / 165T / 0.8G
| 20260505 14:38:21.720 | INFO | Snapshot : 1726.7% / 165T / 0.8G
| 20260505 14:38:26.722 | INFO | Snapshot : 1833.3% / 165T / 0.8G
| 20260505 14:38:31.720 | INFO | Snapshot : 1851.0% / 165T / 0.8G
| 20260505 14:38:36.720 | INFO | Snapshot : 1811.9% / 165T / 0.8G
| 20260505 14:38:41.730 | INFO | Snapshot : 1740.7% / 165T / 0.8G
| 20260505 14:38:46.723 | INFO | Snapshot : 2061.7% / 165T / 0.8G
| 20260505 14:38:51.720 | INFO | Snapshot : 1792.6% / 165T / 0.8G
| 20260505 14:38:56.726 | INFO | Snapshot : 1871.7% / 165T / 0.8G
| 20260505 14:39:01.723 | INFO | Snapshot : 1817.2% / 165T / 0.8G
| 20260505 14:39:06.721 | INFO | Snapshot : 1869.1% / 165T / 0.8G
| 20260505 14:39:11.720 | INFO | Snapshot : 1750.9% / 165T / 0.8G
| 20260505 14:39:16.720 | INFO | Snapshot : 2007.3% / 165T / 0.8G
| 20260505 14:39:21.719 | INFO | Snapshot : 2053.3% / 165T / 0.8G
| 20260505 14:39:26.720 | INFO | Snapshot : 1947.1% / 165T / 0.8G
| 20260505 14:39:31.727 | INFO | Snapshot : 1928.7% / 165T / 0.8G
| 20260505 14:39:36.720 | INFO | Snapshot : 2112.7% / 165T / 0.8G
| 20260505 14:39:41.728 | INFO | Snapshot : 2118.7% / 165T / 0.8G
| 20260505 14:39:46.720 | INFO | Snapshot : 1902.6% / 165T / 0.8G
| 20260505 14:39:51.727 | INFO | Snapshot : 1960.7% / 165T / 0.8G
| 20260505 14:39:56.722 | INFO | Snapshot : 1954.6% / 165T / 0.8G
| 20260505 14:40:01.724 | INFO | Snapshot : 2047.4% / 165T / 0.8G
| 20260505 14:40:06.719 | INFO | Snapshot : 2113.2% / 165T / 0.8G
| 20260505 14:40:11.727 | INFO | Snapshot : 1994.7% / 165T / 0.8G
| 20260505 14:40:16.728 | INFO | Snapshot : 1966.3% / 165T / 0.8G
| 20260505 14:40:21.720 | INFO | Snapshot : 2074.8% / 165T / 0.8G
| 20260505 14:40:26.729 | INFO | Snapshot : 2148.9% / 165T / 0.8G
| 20260505 14:40:31.720 | INFO | Snapshot : 2265.2% / 165T / 0.8G
| 20260505 14:40:36.726 | INFO | Snapshot : 2162.5% / 165T / 0.8G
| 20260505 14:40:41.720 | INFO | Snapshot : 1982.9% / 165T / 0.8G
| 20260505 14:40:46.720 | INFO | Snapshot : 1882.3% / 165T / 0.8G
| 20260505 14:40:51.722 | INFO | Snapshot : 2026.6% / 165T / 0.8G
| 20260505 14:40:56.722 | INFO | Snapshot : 2123.7% / 165T / 0.8G
| 20260505 14:41:01.724 | INFO | Snapshot : 2147.7% / 165T / 0.8G
| 20260505 14:41:06.726 | INFO | Snapshot : 2062.7% / 165T / 0.8G
| 20260505 14:41:11.722 | INFO | Snapshot : 2115.8% / 165T / 0.8G
| 20260505 14:41:16.720 | INFO | Snapshot : 2105.8% / 165T / 0.8G
| 20260505 14:41:21.723 | INFO | Snapshot : 2177.6% / 165T / 0.8G
| 20260505 14:41:26.720 | INFO | Snapshot : 2053.8% / 165T / 0.8G
| 20260505 14:41:31.720 | INFO | Snapshot : 2258.2% / 165T / 0.8G
| 20260505 14:41:36.719 | INFO | Snapshot : 2237.2% / 165T / 0.8G
| 20260505 14:41:41.734 | INFO | Snapshot : 2205.0% / 165T / 0.8G
| 20260505 14:41:46.721 | INFO | Snapshot : 2261.4% / 165T / 0.8G
| 20260505 14:41:51.725 | INFO | Snapshot : 2206.2% / 165T / 0.8G
| 20260505 14:41:56.719 | INFO | Snapshot : 2140.9% / 165T / 0.8G
| 20260505 14:42:01.725 | INFO | Snapshot : 2324.7% / 165T / 0.8G
| 20260505 14:42:06.720 | INFO | Snapshot : 2220.9% / 165T / 0.8G
| 20260505 14:42:11.720 | INFO | Snapshot : 2120.3% / 165T / 0.8G
| 20260505 14:42:16.719 | INFO | Snapshot : 2097.4% / 165T / 0.8G
| 20260505 14:42:21.726 | INFO | Snapshot : 2212.6% / 165T / 0.8G
| 20260505 14:42:26.724 | INFO | Snapshot : 2280.7% / 165T / 0.8G
| 20260505 14:42:31.720 | INFO | Snapshot : 2171.9% / 165T / 0.8G
| 20260505 14:42:36.720 | INFO | Snapshot : 2298.5% / 165T / 0.8G
| 20260505 14:42:41.728 | INFO | Snapshot : 2290.9% / 165T / 0.8G
| 20260505 14:42:46.721 | INFO | Snapshot : 2198.1% / 165T / 0.8G
| 20260505 14:42:51.720 | INFO | Snapshot : 2361.8% / 165T / 0.8G
| 20260505 14:42:56.721 | INFO | Snapshot : 2286.7% / 165T / 0.8G
| 20260505 14:43:01.724 | INFO | Snapshot : 2247.0% / 165T / 0.8G
| 20260505 14:43:06.720 | INFO | Snapshot : 2342.2% / 165T / 0.8G
| 20260505 14:43:11.720 | INFO | Snapshot : 2266.3% / 165T / 0.8G
| 20260505 14:43:16.720 | INFO | Snapshot : 2206.9% / 165T / 0.8G
| 20260505 14:43:21.719 | INFO | Snapshot : 2302.4% / 165T / 0.8G
| 20260505 14:43:26.719 | INFO | Snapshot : 2242.1% / 165T / 0.8G
| 20260505 14:43:31.721 | INFO | Snapshot : 2313.7% / 165T / 0.8G
| 20260505 14:43:36.720 | INFO | Snapshot : 2224.6% / 165T / 0.8G
| 20260505 14:43:41.720 | INFO | Snapshot : 2192.1% / 165T / 0.8G
| 20260505 14:43:46.725 | INFO | Snapshot : 2101.8% / 165T / 0.8G
| 20260505 14:43:51.722 | INFO | Snapshot : 2335.0% / 165T / 0.8G
| 20260505 14:43:56.720 | INFO | Snapshot : 2344.3% / 165T / 0.8G
| 20260505 14:44:01.720 | INFO | Snapshot : 2367.7% / 165T / 0.8G
| 20260505 14:44:06.721 | INFO | Snapshot : 2378.2% / 165T / 0.8G
| 20260505 14:44:11.726 | INFO | Snapshot : 2343.3% / 165T / 0.8G
| 20260505 14:44:16.719 | INFO | Snapshot : 2276.1% / 165T / 0.8G
| 20260505 14:44:21.719 | INFO | Snapshot : 2380.9% / 165T / 0.8G
| 20260505 14:44:26.724 | INFO | Snapshot : 2368.6% / 165T / 0.8G
| 20260505 14:44:31.725 | INFO | Snapshot : 2373.0% / 165T / 0.8G
| 20260505 14:44:32.592 | INFO | Write sorted          : 8m 6s 
| 20260505 14:44:32.711 | INFO | Dedup
| 20260505 14:44:36.721 | INFO | Snapshot : 2240.0% / 164T / 0.7G
| 20260505 14:44:41.724 | INFO | Snapshot : 2288.1% / 164T / 0.8G
| 20260505 14:44:46.721 | INFO | Snapshot : 2274.8% / 164T / 1.0G
| 20260505 14:44:51.725 | INFO | Snapshot : 2307.8% / 164T / 1.3G
| 20260505 14:44:56.720 | INFO | Snapshot : 2272.6% / 164T / 1.4G
| 20260505 14:45:01.720 | INFO | Snapshot : 2249.7% / 164T / 1.4G
| 20260505 14:45:06.719 | INFO | Snapshot : 2259.8% / 164T / 1.4G
| 20260505 14:45:10.701 | INFO | Dedup                 : 37s 989ms 
| 20260505 14:45:11.720 | INFO | Snapshot : 1816.5% / 83T / 1.5G
| 20260505 14:45:12.114 | INFO | Clustering
| 20260505 14:45:16.720 | INFO | Snapshot : 1027.2% / 164T / 1.5G
| 20260505 14:45:21.720 | INFO | Snapshot : 1453.9% / 164T / 1.6G
| 20260505 14:45:26.720 | INFO | Snapshot : 1577.9% / 164T / 1.6G
| 20260505 14:45:31.720 | INFO | Snapshot : 1556.0% / 164T / 1.6G
| 20260505 14:45:36.720 | INFO | Snapshot : 1504.5% / 164T / 1.6G
| 20260505 14:45:41.720 | INFO | Snapshot : 1687.9% / 164T / 1.6G
| 20260505 14:45:46.719 | INFO | Snapshot : 1479.0% / 164T / 1.6G
| 20260505 14:45:51.719 | INFO | Snapshot : 1583.5% / 164T / 1.6G
| 20260505 14:45:56.727 | INFO | Snapshot : 1546.8% / 164T / 1.6G
| 20260505 14:46:01.720 | INFO | Snapshot : 1598.8% / 164T / 1.6G
| 20260505 14:46:06.720 | INFO | Snapshot : 1485.7% / 164T / 1.6G
| 20260505 14:46:11.721 | INFO | Snapshot : 1454.8% / 164T / 1.6G
| 20260505 14:46:16.720 | INFO | Snapshot : 1515.4% / 164T / 1.6G
| 20260505 14:46:21.721 | INFO | Snapshot : 1611.4% / 164T / 1.6G
| 20260505 14:46:26.720 | INFO | Snapshot : 1553.6% / 164T / 1.6G
| 20260505 14:46:31.720 | INFO | Snapshot : 1471.5% / 164T / 1.7G
| 20260505 14:46:36.719 | INFO | Snapshot : 1596.8% / 164T / 1.7G
| 20260505 14:46:41.719 | INFO | Snapshot : 1509.2% / 164T / 1.7G
| 20260505 14:46:46.720 | INFO | Snapshot : 1423.8% / 164T / 1.7G
| 20260505 14:46:51.720 | INFO | Snapshot : 1532.1% / 164T / 1.7G
| 20260505 14:46:56.726 | INFO | Snapshot : 1501.7% / 164T / 1.8G
| 20260505 14:47:01.720 | INFO | Snapshot : 1410.2% / 164T / 1.8G
| 20260505 14:47:06.721 | INFO | Snapshot : 1643.9% / 164T / 1.8G
| 20260505 14:47:11.720 | INFO | Snapshot : 1392.2% / 164T / 1.9G
| 20260505 14:47:16.720 | INFO | Snapshot : 1584.3% / 164T / 1.9G
| 20260505 14:47:21.720 | INFO | Snapshot : 1438.0% / 164T / 1.9G
| 20260505 14:47:26.719 | INFO | Snapshot : 1610.9% / 164T / 1.9G
| 20260505 14:47:29.754 | INFO | Clustering            : 2m 17s 
| 20260505 14:47:31.720 | INFO | Snapshot : 759.6% / 83T / 1.9G
| 20260505 14:47:31.890 | INFO | Merge clusters
| 20260505 14:47:36.720 | INFO | Snapshot : 99.8% / 3T / 2.8G
| 20260505 14:47:39.077 | INFO | Clustering            : 7s 187ms 
| 20260505 14:47:39.079 | INFO | Break coarse clusters
| 20260505 14:47:41.720 | INFO | Snapshot : 1316.3% / 164T / 2.4G
| 20260505 14:47:46.719 | INFO | Snapshot : 1980.1% / 164T / 2.5G
| 20260505 14:47:51.720 | INFO | Snapshot : 0.2% / 164T / 2.5G
| 20260505 14:47:56.721 | INFO | Snapshot : 1683.0% / 164T / 2.5G
| 20260505 14:48:01.721 | INFO | Snapshot : 2518.2% / 164T / 2.5G
| 20260505 14:48:06.721 | INFO | Snapshot : 2519.2% / 164T / 2.6G
| 20260505 14:48:11.721 | INFO | Snapshot : 2500.4% / 164T / 2.6G
| 20260505 14:48:16.722 | INFO | Snapshot : 2412.9% / 164T / 2.6G
| 20260505 14:48:21.721 | INFO | Snapshot : 2544.5% / 164T / 2.6G
| 20260505 14:48:26.721 | INFO | Snapshot : 2542.2% / 164T / 2.6G
